trial_type,go_nogo,stim_type,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,stimulus_image,trial_time,buzz_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,imageTarg.started,keyResp.started,stopSignal.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,no_go_acc,new_buzz_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,textPostTrial.stopped,postTrial.stopped,keyResp.rt,keyResp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.5103191250018426,,0.4651925830039545,0.4653027079984895,0.46533541600365425,0.46558962499693735,0.4655946659986512,0.4657162910007173,0.4657224580005277,0.5103191250018426,0.5103191250018426,1.3305620000028284,space,0.8005772500036983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315388,001,2024-02-09_16h22.15.091,ESST,2023.2.3,None,2024-02-09 16h22.21.799940 -0800,
Positive,no_go,positive_image,None,None,,,,,0,0,0,0,0,0,0,44,1.721219375001965,,,,,,,,,,,,,,,1.3310316659990349,1.3479563330038218,1.3479563330038218,1.6993875409971224,space,0.34120708300179103,None,1.7142020000028424,0.3,Naturalistic_scenes/Positive/5831.jpg,1.25,0.5,1.7145603750032024,1.7145694580030977,1.721219375001965,2.014609040998039,2.0059163330006413,2.00592958299967,2.014609040998039,2.5323922500028857,2.4988329999978305,2.498849916002655,2.756063166001695,2.756063166001695,3.0150584996702188,3.5102700409988756,4.0004285410032026,4.0004285410032026,3.988829000001715,None,0,1,0.55,0.55,3.989210790998186,4.0004285410032026,4.998448375001317,4.9864291659978335,,,315388,001,2024-02-09_16h22.15.091,ESST,2023.2.3,None,2024-02-09 16h22.21.799940 -0800,
Negative,go,negative_image,l,None,,,,,0,0,0,0,0,1,1,14,4.998448375001317,,,,,,,,,,,,,,,,,,,,,,4.986759749997873,0.3,Naturalistic_scenes/Positive/4090.jpg,1.25,0.55,4.98695554099686,4.986966625001514,4.998448375001317,5.28956612500042,5.2826701660014805,5.282699875002436,5.28956612500042,5.797674499997811,5.772756915997888,5.772766333000618,6.031868124999164,6.031868124999164,6.332089166670145,6.827282874997763,7.2695853330005775,7.2695853330005775,7.264688374998514,None,0,1,0.6000000000000001,0.6000000000000001,7.264874665997922,7.2695853330005775,8.264568332997442,8.25665941600164,,,315388,001,2024-02-09_16h22.15.091,ESST,2023.2.3,None,2024-02-09 16h22.21.799940 -0800,
Negative,go,negative_image,l,None,,,,,0,0,0,0,0,2,2,18,8.264568332997442,,,,,,,,,,,,,,,,,,,,,,8.256902125001943,0.2,Naturalistic_scenes/Positive/5202.jpg,1.25,0.6000000000000001,8.257086165998771,8.25709566599835,8.264568332997442,8.452467374998378,8.448109083001327,8.448118749998685,8.452467374998378,8.96387862499978,8.93895429099939,8.938963790998969,9.189609665998432,9.189609665998432,9.54843120766988,10.049243374996877,10.447416125003656,10.447416125003656,10.422923915997671,a,0,0,0.5,0.5,10.423318708002625,10.447416125003656,,11.431564416001493,0.39741987500019604,None,315388,001,2024-02-09_16h22.15.091,ESST,2023.2.3,None,2024-02-09 16h22.21.799940 -0800,
Negative,no_go,negative_image,None,None,,,,,0,0,0,0,0,3,3,36,11.43737137500284,,,,,,,,,,,,,,,,,,,,,,11.43221204099973,0.2,Naturalistic_scenes/Positive/4006.jpg,1.25,0.5,11.43257283300045,11.43258733300172,11.43737137500284,11.631795749999583,11.6228337499997,11.622847625003487,11.631795749999583,12.136507957999129,12.115945791003469,12.115967874997295,12.371857332997024,12.371857332997024,12.628060332670673,13.127366665998125,13.613864416001888,13.613864416001888,13.60536658300407,None,0,1,0.55,0.55,13.605672040997888,13.613864416001888,14.605660957997316,14.59895150000375,,,315388,001,2024-02-09_16h22.15.091,ESST,2023.2.3,None,2024-02-09 16h22.21.799940 -0800,
Positive,go,positive_image,a,None,,,,,0,0,0,0,0,4,4,24,14.605660957997316,,,,,,,,,,,,,,,,,,,,,,14.599505915997725,0.35,Naturalistic_scenes/Positive/4653.jpg,1.25,0.55,14.599846249999246,14.599865666001278,14.605660957997316,14.948226458000136,14.938643415996921,14.938657040998805,14.948226458000136,15.449966500003939,15.432792874998995,15.432814708001388,15.688271749997512,15.688271749997512,15.988422916667576,16.493283666000934,16.93145866600389,16.93145866600389,16.92193529100041,None,0,1,0.6000000000000001,0.6000000000000001,16.922206208000716,16.93145866600389,17.919658790997346,17.914800915998057,,,315388,001,2024-02-09_16h22.15.091,ESST,2023.2.3,None,2024-02-09 16h22.21.799940 -0800,
Ambiguous,go,ambiguous_image,a,l,,,,,0,0,0,0,0,5,5,1,17.919658790997346,,,,,,,,,,,,,,,,,,,,,,17.915030582997133,0.35,Naturalistic_scenes/Positive/4310.jpg,1.25,0.6000000000000001,17.915263290997245,17.915271625002788,17.919658790997346,18.26544216599723,18.25491124999826,18.254925624998577,18.26544216599723,18.766904165997403,18.749381875000836,18.749399500004074,18.99784441600059,18.99784441600059,19.355398541669516,19.85092820799764,20.23983962499915,20.23983962499915,20.23292095799843,None,0,1,0.6500000000000001,0.6500000000000001,20.23340779099817,20.23983962499915,21.236437708001176,21.231734790999326,,,315388,001,2024-02-09_16h22.15.091,ESST,2023.2.3,None,2024-02-09 16h22.21.799940 -0800,
Positive,go,positive_image,a,None,,,,,0,0,0,0,0,6,6,29,21.236437708001176,,,,,,,,,,,,,,,,,,,,,,21.23192791600013,0.25,Naturalistic_scenes/Positive/4694.jpg,1.25,0.6500000000000001,21.232100540997635,21.232109875003516,21.236437708001176,21.48171100000036,21.471965208002075,21.47198033300083,21.48171100000036,21.989272790997347,21.965967750002164,21.966015750003862,22.215481332998024,22.215481332998024,22.623289207669828,23.118424624997715,23.456548583002586,23.456548583002586,23.448434500001895,a,0,0,0.55,0.55,23.448761375002505,23.456548583002586,24.454068541002925,24.448515458003385,0.5799189579993254,None,315388,001,2024-02-09_16h22.15.091,ESST,2023.2.3,None,2024-02-09 16h22.21.799940 -0800,
,,,,,,,,,,,,,,,,,24.454068541002925,,,,,,,,,,,,,,,,,,,,,,24.448857208000845,0.35,Naturalistic_scenes/Positive/4311.jpg,1.25,0.55,24.449050750001334,24.449058958001842,24.454068541002925,24.798360916000092,24.789576666000357,24.789591833003215,24.798360916000092,25.29875670799811,25.2822396249976,25.282257833001495,25.53950316600094,25.53950316600094,25.83862391666868,26.347793624998303,,,,,,,,,,,,,,,,,,,,,,
